rClutchPaddle,pBrakeF,vCar,gLong,frequency,xRideHeightR,t_eng_oil,trq_eng,gLat,nmot,lvl_water,timestamp,aLongGPSFIARx,xRideHeightFL,xRideHeightFR,aSteerWheel,m_fuel,acqType,rThrottlePedal,SOC,lvl_eng_oil,t_eng_water_in,aLatGPSFIARx,t_eng_water_out,t_gbx,gear
0.2,0.13700551744550468,196.52038726806646,5.213190364837645,5,57.779142284393316,122.99999999999997,664.2325134277345,0.08147958279587326,7127.01,0.9500000000000003,1686140401805000,0.20745649933815008,49.401940631866445,50.817366600036635,1.3200000286102296,88.12500000000003,cable,100.0,62.07000160217288,6.302500176429746,84.00000000000001,47.949831008911154,86.50000000000003,112.99999999999999,4.0
0.10000000000000002,0.1758570206165314,200.24702339172367,4.903195798397067,5,58.12123098373412,122.99999999999997,658.0025085449221,0.472505128197372,7273.15,0.9500000000000003,1686140402005000,0.20746339857578272,47.95288295745848,48.86192789077758,2.530000019073487,87.0,cable,100.0,62.00000000000002,6.349999904632566,84.00000000000001,47.949954986572266,87.00000000000001,112.99999999999999,4.0
0.25,0.17125629302114248,203.8874462127685,5.195182776451111,5,56.86522998809814,122.99999999999997,660.222509765625,0.22584746670909223,7373.490000000002,0.9374999999999996,1686140402205000,0.20746859908103943,47.510871887207024,49.419512367248544,0.9350000213831664,87.37500000000001,cable,100.0,61.930001068115246,6.349999904632566,84.09900000000005,47.950056076049776,87.00000000000001,112.99999999999999,4.0
0.15000000000000002,0.20836678266525271,207.54258728027355,4.960061407089232,5,55.92279148101805,122.99999999999997,658.1775115966796,0.028553394647315145,7501.3499999999985,0.8999999999999997,1686140402405000,0.20747494697570812,48.28856515884398,48.89080057144167,2.1050000488758096,87.49999999999997,cable,100.0,61.90000152587892,6.349999904632566,84.20000000000005,47.95018196105956,87.00000000000001,112.99999999999999,4.0
0.15000000000000002,0.20953064858913417,211.34125022888188,4.691583263874054,5,58.60671262741088,122.99999999999997,647.4525100708006,-0.24655249603092674,7638.82,0.8999999999999997,1686140402605000,0.20747859776020056,47.80586185455322,49.4074383735657,0.8350000247359279,86.50000000000004,cable,100.0,61.87000083923338,6.349999904632566,84.20000000000005,47.95026016235353,87.00000000000001,112.99999999999999,4.0
0.2,0.22007820256054406,214.42701683044427,4.6282461643219,5,55.953928089141854,122.99999999999997,641.660011291504,-0.6049718831200154,7745.219999999999,0.8999999999999997,1686140402805000,0.20748475193977356,46.0825638771057,49.0930799484253,1.00500003285706,86.25000000000003,cable,100.0,61.79999923706052,6.352499914169313,84.39799999999998,47.95039367675779,87.49999999999999,112.99999999999999,4.0
0.25,0.24122357249259954,217.6503566741944,4.624150818586351,5,56.62376737594606,122.99999999999997,635.1075103759766,-0.18815517961047598,7858.830000000002,0.8999999999999997,1686140403005000,0.20748975127935415,46.88201808929444,49.2422516822815,1.7750000357627869,86.24999999999997,cable,100.0,61.73000030517579,6.4000000953674325,84.39999999999998,47.95050048828125,87.99999999999999,112.99999999999999,4.0
0.10000000000000002,0.26528886094689375,221.45677108764653,4.125459378957749,5,53.47947893142701,122.99999999999997,625.3375152587892,0.505924305692315,7961.869999999998,0.8999999999999997,1686140403205000,0.20749460905790318,46.69033813476563,48.346920204162615,1.7150000512599939,85.49999999999997,cable,100.0,61.61000213623048,6.4000000953674325,84.49700000000001,47.950613021850586,87.99999999999999,112.99999999999999,4.0
0.20000000000000004,0.2516465587168932,224.91112022399903,3.879364979267121,5,54.97354459762575,122.99999999999997,562.602516365051,-0.3094825761392713,8068.59,0.8999999999999997,1686140403405000,0.2074994072318078,47.2765432357788,48.16331520080566,1.2550000250339506,85.12499999999997,cable,100.0,61.57000160217283,6.4000000953674325,84.60000000000001,47.95072364807128,87.99999999999999,112.99999999999999,4.0
0.35000000000000003,0.15471436448395248,227.089828491211,2.849499733373523,5,53.87115774154663,122.99999999999997,521.4925144195556,-0.1488898434676229,7072.139999999999,0.8624999999999998,1686140403605000,0.2075042054057121,45.13229551315309,46.33746824264527,1.6750000398606057,86.49999999999997,cable,100.0,61.499999999999986,6.4000000953674325,84.60000000000001,47.95083427429198,87.99999999999999,112.99999999999999,5.000000000000003
0.09999999999999999,0.13322434898465874,228.99956970214842,3.595818662643431,5,52.30279092788697,122.99999999999997,655.1375091552735,-0.14132448090240363,7008.710000000001,0.8499999999999999,1686140403805000,0.20750900357961644,45.80281352996825,47.0956255912781,1.5250000316649677,87.62499999999997,cable,100.0,61.499999999999986,6.4000000953674325,84.79600000000006,47.95095252990725,87.99999999999999,112.99999999999999,5.000000000000003
0.25,0.1399917219206691,231.5800559997558,3.6068223655223854,5,51.60889730453492,122.99999999999997,659.6250137329104,0.12340225512161854,7090.990000000002,0.8499999999999999,1686140404005000,0.20751362971961487,45.4480857849121,46.331850242614735,2.1500000119209304,89.00000000000004,cable,100.0,61.410001373291045,6.4000000953674325,84.80000000000005,47.95106639862064,87.99999999999999,112.99999999999999,5.000000000000003
0.1,0.16890540380030863,234.10850143432614,3.52416563630104,5,49.59933815002441,122.99999999999997,660.5200134277342,-0.1190973355900496,7162.230000000001,0.8499999999999999,1686140404205000,0.2075181825459004,44.39727296829225,45.276227664947534,1.9500000357627862,89.62500000000006,cable,100.0,61.3700008392334,6.4000000953674325,84.89499999999998,47.95118083953856,87.99999999999999,112.99999999999999,5.000000000000003
